**** BEGIN LOGGING AT Mon Jul 25 15:43:33 2016

[ipun has address ~ipun@unused-10-15-17-118.yyz.redhat.com]
Jul 25 15:43:36 <lufimtse>	hullo
Jul 25 15:43:41 <lufimtse>	can you ping me? I wanna test notifications
Jul 25 15:50:18 <ipun>	kk
Jul 25 15:50:20 <ipun>	lufimtse 
**** ENDING LOGGING AT Mon Jul 25 15:57:11 2016

**** BEGIN LOGGING AT Mon Jul 25 15:57:11 2016

**** ENDING LOGGING AT Mon Jul 25 15:59:49 2016

**** BEGIN LOGGING AT Mon Jul 25 15:59:49 2016

**** ENDING LOGGING AT Mon Jul 25 16:00:38 2016

**** BEGIN LOGGING AT Mon Jul 25 16:00:38 2016

**** BEGIN LOGGING AT Tue Aug  2 09:23:42 2016

[ipun has address ~ipun@unused-10-15-17-118.yyz.redhat.com]
Aug 02 09:23:42 <ipun>	hey im going to take a look into this problem view bug
Aug 02 10:17:04 <lufimtse>	kk
Aug 02 12:59:41 <ipun>	so far gotten the toggles displayed, i will adjust the clipart on it later, just using a random one right now
Aug 02 13:00:33 <ipun>	i think that was one of the "tasks
Aug 02 13:00:44 <ipun>	but the toggles dont do anything yet.
Aug 02 13:50:03 <lufimtse>	let me know when I should swing by
Aug 02 13:50:15 <ipun>	kk sure
Aug 02 13:50:19 <ipun>	come now 
Aug 03 11:16:49 *	Disconnected (Connection timed out)
