**** BEGIN LOGGING AT Fri Sep 23 12:25:15 2016

Sep 23 12:25:15 <lufimtse>	nixe
Sep 23 12:25:17 <lufimtse>	nice
Sep 23 16:12:15 <lufimtse>	Ever tried freeplane?
Sep 23 16:12:15 <lufimtse>	http://freeplane.sourceforge.net/wiki/index.php/Main_Page
Sep 23 16:12:34 <jkang>	no I don't think so
Sep 23 16:12:54 <jkang>	interesting
Sep 23 16:13:01 <jkang>	where'd you find this? hahah
Sep 23 16:13:12 <lufimtse>	it's been around the block for a while. 
Sep 23 16:13:16 <lufimtse>	I tried it briefly before.
Sep 23 16:13:17 <jkang>	also do you want to spend some time on Monday practicing the presentation?
Sep 23 16:13:25 <lufimtse>	yea
Sep 23 16:13:31 <lufimtse>	I'm gonna stick around after work today to work on it.
Sep 23 16:13:31 <jkang>	okay
