**** BEGIN LOGGING AT Mon Oct 15 12:14:56 2018

[xixiyan has address ~xixiyan@unused-10-15-17-106.yyz.redhat.com]
Oct 15 12:14:56 <xixiyan>	Hi Leo, 
Oct 15 12:15:28 <xixiyan>	I was wondering if you remember the password to the fedora partition on the windows laptop?
Oct 15 12:34:48 <lufimtse>	hey
Oct 15 12:35:04 <lufimtse>	cant remember
Oct 15 12:35:06 <lufimtse>	try
Oct 15 12:35:07 <lufimtse>	redhat
Oct 15 12:35:13 <lufimtse>	admin
Oct 15 12:35:19 <lufimtse>	or you can simply reset it :-)
Oct 15 12:35:41 <lufimtse>	you can reset root password of the laptop.
Oct 15 12:36:01 <lufimtse>	and then change password of any user you want 'passwd USER' 
Oct 15 12:36:23 <lufimtse>	roland or anyone with RHCSA should be able to guide you
Oct 15 12:36:29 <lufimtse>	or google
Oct 15 12:36:33 <lufimtse>	let me know if that helps.
Oct 15 12:37:54 <xixiyan>	ah okay, I'll try that, thanks!
Oct 16 08:42:51 *	Disconnected (Connection timed out)
Oct 17 11:53:43 *	Disconnected (Connection timed out)
**** ENDING LOGGING AT Thu Oct 18 10:51:47 2018

